חותמת זמן,איזה סוג ספורט תחרותי/קבוצתי אתה משחק בתדירות הגבוהה ביותר? (ניתן לבחור כמה),גיל,מין,אזור,"באיזו תדירות אתה משחק ספורט תחרותי או קבוצתי (כדורגל, כדורסל, פאדל טניס וכו')?",עד כמה חשוב לך לדעת אם אתה משתפר לאורך זמן?,מה אתה עושה היום כדי לעקוב אחרי הביצועים שלך? (ניתן לבחור כמה),מה הכי חסר לך כשאתה מסיים אימון או משחק מול חברים? (ניתן לבחור כמה),אם הייתה אפליקציה שנותנת לך דירוג אמיתי ובונה לך כרטיס שחקן עם סטטיסטיקות כמה סביר שהיית מתקין אותה?,"אם הייתה אפליקציה כזאת, זה היה מעלה לך את המוטיבציה לעשות ספורט?",באיזו פלטפורמה אתה בעיקר משתמש היום כדי לקבוע משחקים או למצוא שחקנים?,"מה המידע שהכי חסר לך כדי לצאת מהבית לשחק במגרש ציבורי? (לא חובה ניתן לבחור כמה)
","כשמתחשק לך פתאום לצאת לשחק עכשיו, עד כמה קשה לך למצוא שחקנים ברמה שלך?","אם הייתה לך גישה לקלף שחקן דיגיטלי מעוצב שכולל את ציון ה""אוברול"" שלך והסטטיסטיקות, האם היית משתף אותו ברשתות החברתיות (סטורי, וואטסאפ)?","מה ה""פיצ'ר חלומות"" שהיה גורם לך לפתוח אפליקציית ספורט כזו לפני או אחרי כל משחק?","האם היית מוכן לשלם עבור אפליקציה שתספק לך דירוג מדויק מול אחרים וניתוחי AI על הביצועים שלך (pace, shooting לדוגמא)?",עד כמה היית מעוניין להשתמש במערכת שתתעד באופן אוטומטי את תוצאת המשחק וסרטוני ההיילייטס במגרש הציבורי?,דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [דירוג אישי (Overall score)],"דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סטטיסטיקות ספציפיות (מהירות, מרחק, קליעות, שערים)]",דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סרטוני היילייטס ],דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [הכרה חברתית / פרסים]
05/04/2026 19:49:53,כדורסל,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,2,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,2,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,תלוי כמה העיצוב יהיה מרשים,,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 19:50:48,כדורסל,26-35,זכר,אזור השרון,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,,3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
05/04/2026 19:51:53,"כדורסל, טניס",19-25,זכר,ירושלים והסביבה,3 פעמים בשבוע או יותר,2,זוכר בראש מי ניצח וכמה הבקעתי,"שום דבר, אני נהנה גם ככה",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),3,חשוב מעט,חשוב מעט,חשוב מעט,חשוב מעט
05/04/2026 19:54:08,"כדורסל, פאדל",46+,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,3,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), זוכר בראש מי ניצח וכמה הבקעתי","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים",3,4,קבוצות וואטסאפ של השכונה/החבר'ה,שעות פעילות מדויקות,3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,3,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
05/04/2026 19:58:16,"כדורסל, פאדל",26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,קבוצות פייסבוק,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,3,חשוב מאוד,חשוב מעט,חשוב מאוד,חשוב מאוד
05/04/2026 19:58:38,כדורסל,19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,3,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,1,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",תהיו יצירתיים,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
05/04/2026 20:05:52,כדורסל,36-45,זכר,אזור השרון,3 פעמים בשבוע או יותר,3,כלום,"שום דבר, אני נהנה גם ככה",3,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",שעות פעילות מדויקות,3,תלוי כמה העיצוב יהיה מרשים,,הייתי משתמש רק אם זה בחינם,5,לא חשוב,חשוב מעט,חשוב מעט,לא חשוב
05/04/2026 20:05:59,כדורסל,36-45,זכר,אזור השרון,פעם בכמה שבועות,3,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",5,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
05/04/2026 20:14:12,"כדורגל, כדורסל",19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,תלוי כמה העיצוב יהיה מרשים,,לא הייתי משתמש / לא מעניין אותי,5,חשוב מעט,חשוב מעט,חשוב מאוד,לא חשוב
05/04/2026 20:14:54,כדורסל,46+,זכר,אזור השרון,1-2 פעמים בשבוע,2,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",4,2,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,4,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 20:17:34,כדורגל,19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",2,2,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",שעות פעילות מדויקות,1,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,לא הייתי משתמש / לא מעניין אותי,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 20:18:08,"כדורסל, פאדל",19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,3,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),4,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
05/04/2026 20:18:24,"כדורגל, כדורסל",19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,3,כלום,"שום דבר, אני נהנה גם ככה",3,3,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,אין לי רשתות חברתיות / לא מעלה כלום,,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מעט,חשוב מעט,חשוב מעט
05/04/2026 20:18:26,כדורסל,26-35,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,4,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,2,חשוב מאוד,חשוב מעט,לא חשוב,חשוב מעט
05/04/2026 20:21:15,כדורסל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק),"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,4,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מעט,חשוב מאוד,חשוב מעט
05/04/2026 20:24:43,כדורסל,19-25,זכר,תל אביב והמרכז,פעם בכמה שבועות,3,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי",היילייטס,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 20:26:26,כדורסל,36-45,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים",1,1,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"כנראה שלא, אני שומר את הנתונים לעצמי",אין לכם דרך למדוד את מה שבאמת מעניין,לא הייתי משתמש / לא מעניין אותי,5,לא חשוב,חשוב מעט,חשוב מאוד,לא חשוב
05/04/2026 20:37:25,"כדורגל, כדורסל",19-25,זכר,אזור השרון,1-2 פעמים בשבוע,5,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מאוד
05/04/2026 20:39:38,כדורסל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים",4,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",,3,"כנראה שלא, אני שומר את הנתונים לעצמי",,לא הייתי משתמש / לא מעניין אותי,1,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
05/04/2026 20:42:08,כדורסל,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,שעות פעילות מדויקות,4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מעט,חשוב מעט,חשוב מאוד,לא חשוב
05/04/2026 20:43:05,כדורסל,26-35,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",5,אין לי רשתות חברתיות / לא מעלה כלום,,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 20:44:27,כדורסל,36-45,זכר,באר שבע והדרום,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מעט
05/04/2026 20:47:26,כדורסל,19-25,זכר,אזור השרון,1-2 פעמים בשבוע,3,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,אין לי רשתות חברתיות / לא מעלה כלום,"מצב המגרש, שעת האורות, מספר שחקנים",הייתי משתמש רק אם זה בחינם,5,חשוב מעט,חשוב מעט,חשוב מאוד,לא חשוב
05/04/2026 20:52:25,כדורסל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,2,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",2,"כנראה שלא, אני שומר את הנתונים לעצמי",סטטיסטיקות מעקב אחר הנתונים שלי במגרש ( האמת נראה פחות מתאים בכדורסל רחוב) אני משחק בליגה למקומות עבודה ואם היה משהו שיכול לספור את הסטטיסטיקה שלי הייתי עף על זה,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),4,חשוב מאוד,חשוב מאוד,לא חשוב,לא חשוב
05/04/2026 20:57:08,כדורסל,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,5,משתמש באפליקציות ייעודיות לניהול קבוצות,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,,2,תלוי כמה העיצוב יהיה מרשים,סטטיסטיקה מתקדמת,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
05/04/2026 20:58:38,כדורסל,46+,זכר,אזור השרון,3 פעמים בשבוע או יותר,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת",4,3,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מעט
05/04/2026 21:02:36,כדורסל,36-45,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), שום דבר, אני נהנה גם ככה",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,,3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
05/04/2026 21:02:54,כדורסל,19-25,זכר,אזור השרון,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים",5,4,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",5,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",סיכום היילייטים כמו סטורי כזה או כמו שורט כזה של המהלכים שלך,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מעט
05/04/2026 21:03:17,"כדורסל, טניס",19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",4,5,קבוצות פייסבוק,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,"כנראה שלא, אני שומר את הנתונים לעצמי","""Matchmaking"". דרך למצוא אנשים לשחק איתם באיזור שלי",הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מעט,חשוב מעט,לא חשוב
05/04/2026 21:07:51,כדורסל,26-35,זכר,חיפה והצפון,1-2 פעמים בשבוע,4,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,2,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
05/04/2026 21:07:55,כדורגל,19-25,זכר,תל אביב והמרכז,פעם בכמה שבועות,3,משתמש באפליקציות ייעודיות לניהול קבוצות,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",5,2,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",1,אין לי רשתות חברתיות / לא מעלה כלום,שעות תאורת מגרשים ועדכון על עומס מגרש. ,הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
05/04/2026 21:13:28,כדורסל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",2,תלוי כמה העיצוב יהיה מרשים,,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
05/04/2026 21:14:56,כדורסל,36-45,זכר,אזור השרון,3 פעמים בשבוע או יותר,4,"זוכר בראש מי ניצח וכמה הבקעתי, כלום","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, שום דבר, אני נהנה גם ככה",4,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",3,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מעט,חשוב מעט,לא חשוב
05/04/2026 21:26:06,כדורסל,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,כלום,"שום דבר, אני נהנה גם ככה",4,3,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מעט,חשוב מעט,לא חשוב
05/04/2026 21:31:06,כדורסל,46+,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,,4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,5,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מאוד
05/04/2026 21:31:58,כדורסל,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,האם האורות דולקים עכשיו?,4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
05/04/2026 21:32:19,כדורסל,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,4,כלום,"שום דבר, אני נהנה גם ככה",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",2,תלוי כמה העיצוב יהיה מרשים,,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,2,חשוב מעט,חשוב מעט,לא חשוב,חשוב מעט
05/04/2026 21:36:55,כדורסל,26-35,זכר,חיפה והצפון,1-2 פעמים בשבוע,2,כלום,"שום דבר, אני נהנה גם ככה",2,3,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), שעות פעילות מדויקות",4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מעט,לא חשוב,חשוב מעט
